PITFALL CAVE (TEST)
SURVEY NAME: ENTRANCE SERIES
SURVEY DATE: 3 14 2026  COMMENT:
SURVEY TEAM:
N. SCHONEGG, R. WEBB
DECLINATION: -4.66  FORMAT: DDDDLRUDLADadBF  CORRECTIONS: 0.00 0.00 0.00

FROM         TO           LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT     AZM2     INC2
FROM         TO           LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT     AZM2     INC2

A12          B1            30.00   250.66    -2.00     7.00    14.00     2.00     8.00  -999.00  -999.00
B1           B2            44.00   236.66    -4.00     6.00    10.00     1.50     6.00  -999.00  -999.00
B2           B3            36.50   218.66    -1.00     8.00    13.00     2.00     7.00  -999.00  -999.00
B3           B4            33.00   194.66    -2.50     5.00    11.00     1.00     9.00  -999.00  -999.00
A14          B4           109.74   261.43    -1.28     3.50     6.00     1.00     4.00  -999.00  -999.00 LOOP A TIE-IN TO TRUNK
B4           B5            38.14   245.05     2.80     4.00     7.00     1.00     4.00  -999.00  -999.00
B5           B6            30.79   224.54    -3.53     6.70     5.30     2.10     7.90  -999.00  -999.00
B6           B7            43.16   194.66    -2.00     4.10     6.70     1.40     3.00  -999.00  -999.00
B7           B8            44.53   169.84    -3.19     4.00     5.00     1.70     8.70  -999.00  -999.00
B8           B9            21.83   159.28    -1.14     4.60    10.60     2.20     3.30  -999.00  -999.00
B9           B10           18.04   142.27     1.84     6.60     4.20     1.30     7.70  -999.00  -999.00
B10          B11           31.00   150.27    -1.00     2.40    10.80     2.20     6.70  -999.00  -999.00
B10          B11           27.00   159.27    -1.00     2.40    10.80     2.20     6.70  -999.00  -999.00 RE-READ, TAPE SNAGGED
B11          B12           40.00   145.27     0.50     5.00     8.00     1.00     5.00  -999.00  -999.00 BIG ROOM, EAST END
B12          B13           46.00   151.27    -1.00    14.00    26.00     2.00    18.00  -999.00  -999.00
B13          B14           38.00   163.27    -2.00    21.00    31.00     3.00    24.00  -999.00  -999.00 BREAKDOWN, SPLAYS ONLY
B14          B15           30.00   155.27    -1.50    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00
B12          B12.s1        14.69   358.67    -6.78    14.00    26.00     2.00    18.00  -999.00  -999.00 #|S#
B12          B12.s2        33.97    49.59    -7.09    14.00    26.00     2.00    18.00  -999.00  -999.00 #|S#
B12          B12.s3        19.57    98.90    -0.80    14.00    26.00     2.00    18.00  -999.00  -999.00 #|S#
B12          B12.s4        12.16   139.52     4.52    14.00    26.00     2.00    18.00  -999.00  -999.00 #|S#
B12          B12.s5        11.86   189.17    -0.98    14.00    26.00     2.00    18.00  -999.00  -999.00 #|S#
B12          B12.s6        24.74   226.60     4.22    14.00    26.00     2.00    18.00  -999.00  -999.00 #|S#
B12          B12.s7        18.04   274.30     5.33    14.00    26.00     2.00    18.00  -999.00  -999.00 #|S#
B12          B12.s8        29.36   324.69    -5.16    14.00    26.00     2.00    18.00  -999.00  -999.00 #|S#
B12          B12.s9        22.00    74.66    71.00    14.00    26.00     2.00    18.00  -999.00  -999.00 #|S# CEILING DOME
B12          B12.s10       40.00   155.27     1.00    14.00    26.00     2.00    18.00  -999.00  -999.00 #|S# DOWN-PASSAGE SIGHT
B13          B13.s11       19.31     0.96     3.32    21.00    31.00     3.00    24.00  -999.00  -999.00 #|S#
B13          B13.s12        9.25    50.48    -5.32    21.00    31.00     3.00    24.00  -999.00  -999.00 #|S#
B13          B13.s13       17.95    92.10    -0.13    21.00    31.00     3.00    24.00  -999.00  -999.00 #|S#
B13          B13.s14       11.21   134.60     6.25    21.00    31.00     3.00    24.00  -999.00  -999.00 #|S#
B13          B13.s15       32.32   181.46     2.08    21.00    31.00     3.00    24.00  -999.00  -999.00 #|S#
B13          B13.s16       12.46   226.18     2.32    21.00    31.00     3.00    24.00  -999.00  -999.00 #|S#
B13          B13.s17       30.72   280.04     0.25    21.00    31.00     3.00    24.00  -999.00  -999.00 #|S#
B13          B13.s18       15.25   322.10     4.07    21.00    31.00     3.00    24.00  -999.00  -999.00 #|S#
B14          B14.s19       23.97     1.01    -7.98    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B14          B14.s20       29.45    51.40     6.55    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B14          B14.s21        8.58    92.79     5.94    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B14          B14.s22       18.40   141.40    -3.86    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B14          B14.s23       19.49   179.62     0.86    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B14          B14.s24       31.04   234.54    -0.76    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B14          B14.s25       15.57   279.01     0.69    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B14          B14.s26       28.51   318.97     2.62    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B15          B15.s27       19.18     4.58    -5.56    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B15          B15.s28       24.77    46.55     1.71    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B15          B15.s29       35.49    94.65    -0.60    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B15          B15.s30       34.50   140.34    -1.70    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B15          B15.s31       13.46   184.45     2.12    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B15          B15.s32       26.95   231.67    -7.21    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B15          B15.s33       26.62   279.65    -1.42    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B15          B15.s34       19.05   323.25    -4.06    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
B15          B16           23.19   146.98     3.63    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00
B16          B17           19.00   147.48     0.02     1.70    12.80     2.20     2.10  -999.00  -999.00
B17          B18           35.00   157.48    -2.00     1.70     6.60     2.50     3.70  -999.00  -999.00
B18          B17           35.00   157.48     2.00     6.00     9.00     1.00     5.00  -999.00  -999.00 BACKSIGHT WRITTEN IN THE FORESIGHT COLUMN
B18          B19           21.26   159.83     1.16     6.00     9.00     1.00     5.00  -999.00  -999.00
B19          B20           40.42   155.84     0.90     6.70     3.90     2.80     5.40  -999.00  -999.00
B20          B21           28.00   159.84    -1.00     2.60     6.40     1.10     3.70  -999.00  -999.00 #|C# TIED TO SURVEY NAIL, DO NOT ADJUST
B21          B22           33.00   147.84    -1.50     4.00     6.00     1.00     4.00  -999.00  -999.00
B21          B22           33.40   148.44    -1.50     4.00     6.00     1.00     4.00  -999.00  -999.00 #|L# DUPLICATE SHOT, SECOND PARTY
B22          B23           24.00   164.44    -2.00     5.00     8.00     1.00     6.00  -999.00  -999.00
B23          B23X          15.00    99.66     3.00     4.00     7.00     1.00     4.00  -999.00  -999.00 #|X# VOID SHOT, STATION NEVER FOUND AGAIN
B23          B23.1         21.00   122.66     4.50     4.00     7.00     1.00     4.00  -999.00  -999.00 SIDE ALCOVE, NAMED LIKE A SPLAY ON PURPOSE
B23          B24           45.53   149.61     3.39     4.00     7.00     1.00     4.00  -999.00  -999.00
B24          B25           23.74   150.21     3.53     4.20     5.30     2.80     1.60  -999.00  -999.00
B25          UPPERWESTMAZEJUNCTION  37.00   130.21    -1.00     7.90     3.30     1.20     1.70  -999.00  -999.00 FOUR-WAY, WEST MAZE STARTS HERE
B25          B26           26.00   266.66    -1.00     7.90     3.30     1.20     1.70  -999.00  -999.00 SECOND HALF OF THE TRUNK TRIP, SAME DAY, SAME PARTY
B26          B27           31.00   252.66    -2.00     5.00     8.00     1.00     5.00  -999.00  -999.00

PITFALL CAVE (TEST)
SURVEY NAME: WEST MAZE
SURVEY DATE: 5 2 2026  COMMENT:
SURVEY TEAM:
K. AYERS, D. OTT
DECLINATION: -4.66  FORMAT: DDDDLRUDLADadBF  CORRECTIONS: 0.00 0.00 0.00

FROM         TO           LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT     AZM2     INC2

UPPERWESTMAZEJUNCTION C1            26.00   292.66    -2.00     9.00    15.00     2.00    11.00  -999.00  -999.00
C1           C2            31.00   306.66    -1.00     3.00     5.00     1.00     3.00  -999.00  -999.00
C2           C3            28.50   340.66     1.50     4.00     5.50     1.00     3.00  -999.00  -999.00
C3           C4            34.00    16.66     2.00     3.00     5.00     0.50     3.00  -999.00  -999.00
C4           C5            29.00    50.66     0.50     4.50     7.00     1.00     4.00  -999.00  -999.00 LEDGE AT 5, TRUE WALL AT 10
C5           C6            33.50    78.66    -1.00     5.00     9.00     1.00     6.00  -999.00  -999.00
C6           C7            30.00   112.66    -2.50     4.00     8.00     1.00     5.00  -999.00  -999.00
C7           C8            27.00   146.66    -1.50     3.50     6.00     1.00     4.00  -999.00  -999.00 LEFT WALL UNREACHABLE, WROTE -1
C8           C9            32.00   180.66    -2.00    -1.00     7.00     1.00     4.00  -999.00  -999.00
C9           C1            91.44   244.67     1.45     4.00     6.50     1.00     4.00  -999.00  -999.00 LOOP B CLOSING LEG -- BLUNDERED TAPE, 12 PERCENT LONG
C5           C10           24.00    24.66     1.00     5.00     9.00     1.00     6.00  -999.00  -999.00 THREE-WAY JUNCTION
C10          C11           22.00   354.66     2.00     6.00     9.00     1.00     6.00  -999.00  -999.00
C11          C12           26.00   322.66    -1.00     3.00     5.00     0.50     3.00  -999.00  -999.00 FLOWSTONE CHAMBER
C12          C13           30.00   304.66    -2.00    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00
C13          C14           25.00   280.66    -1.00    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00
C12          C12.s35       19.47     3.25     5.23    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C12          C12.s36       21.35    42.92    -7.95    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C12          C12.s37       10.50    79.43    -7.40    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C12          C12.s38       22.70   117.75    -4.72    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C12          C12.s39       23.46   152.61    -0.53    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C12          C12.s40       26.04   184.28    -4.33    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C12          C12.s41       23.76   223.33    -4.76    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C12          C12.s42       24.02   262.00    -0.55    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C12          C12.s43       27.95   298.17    -2.73    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C12          C12.s44        8.42   327.69     0.81    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C12          C12.s45       22.00    74.66    71.00    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S# CEILING DOME
C13          C13.s46       15.00     2.60     1.46    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C13          C13.s47       18.95    39.04    -5.30    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C13          C13.s48       15.71    74.34    -1.02    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C13          C13.s49       15.88   118.25    -5.76    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C13          C13.s50        5.76   150.05     1.28    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C13          C13.s51        5.90   182.63    -0.17    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C13          C13.s52       15.01   218.02    -3.50    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C13          C13.s53        7.71   254.75     6.75    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C13          C13.s54        6.14   297.09     4.61    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C13          C13.s55        8.14   327.12     5.37    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C14          C14.s56       15.22     7.34    -5.54    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C14          C14.s57       12.65    36.21     2.40    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C14          C14.s58        9.81    78.01    -1.52    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C14          C14.s59        6.14   110.08    -6.79    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C14          C14.s60       25.81   150.75    -1.71    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C14          C14.s61       11.75   185.62     2.12    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C14          C14.s62        7.44   221.44    -6.61    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C14          C14.s63       10.83   251.83    -4.10    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C14          C14.s64       26.80   292.72     6.51    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C14          C14.s65       18.65   327.35     3.73    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00 #|S#
C14          C15           28.00   254.66    -1.50    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00
C15          C16           31.00   236.66    -2.00    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00
C16          C17           27.00   218.66    -1.00    -9.90    -9.90    -9.90    -9.90  -999.00  -999.00

PITFALL CAVE (TEST)
SURVEY NAME: SUMP PASSAGE
SURVEY DATE: 5 2 2026  COMMENT:
SURVEY TEAM:
R. WEBB, J. PARK
DECLINATION: -4.66  FORMAT: DDDDLRUDLADadBF  CORRECTIONS: 0.00 0.00 0.00

FROM         TO           LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT     AZM2     INC2

C10          D1            33.00   172.66    -4.00     6.00     9.00     1.00     6.00  -999.00  -999.00
D1           D2            29.00   156.66    -7.00     5.00     8.00     1.00     5.00  -999.00  -999.00
D2           D3            63.00     4.66   -90.00     4.00     7.00     1.00     4.00  -999.00  -999.00 PLUMBED PITCH, ROPE 80 FT
D3           D4            26.00   144.66    -3.00     6.00     0.00     4.00     6.00  -999.00  -999.00
D4           D5            24.00   126.66    90.00     4.00     9.00     1.00     5.00  -999.00  -999.00 AVEN, PLUMBED UP

PITFALL CAVE (TEST)
SURVEY NAME: SUMP PASSAGE
SURVEY DATE: 5 2 2026  COMMENT:
SURVEY TEAM:
R. WEBB, J. PARK
DECLINATION: -4.81  FORMAT: DDDDLRUDLADadBF  CORRECTIONS: 0.00 0.00 0.00

FROM         TO           LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT     AZM2     INC2

D5           D6            31.00   108.81    -2.00     3.00    12.00     0.00     3.00  -999.00  -999.00
D6           D7            28.00    90.81    -3.00     4.00     7.00     1.00     4.00  -999.00  -999.00
D7           D8            34.00    72.81    -5.00     3.50     6.00     1.00     4.00  -999.00  -999.00
D8           D9            30.00    56.81    -4.00     5.00     8.00     1.00     5.00  -999.00  -999.00 SUMP POOL, DYE TRACE STATION
D9           D10           22.00    42.81    -2.00     6.00    10.00     1.00     6.00  -999.00  -999.00
ENTRANCE-DIG-1 ENTRANCE-DIG-1_L   0.00     0.00     0.00     2.00     4.00     0.00     2.00  -999.00  -999.00 LRUD carrier
B23.1        B23.1_L        0.00     0.00     0.00     2.00     5.00     0.50     2.00  -999.00  -999.00 LRUD carrier
C17          C17_L          0.00     0.00     0.00     3.00     5.00     1.00     3.00  -999.00  -999.00 LRUD carrier
D10          D10_L          0.00     0.00     0.00     4.00     6.00     1.00     4.00  -999.00  -999.00 LRUD carrier
B27          B27_L          0.00     0.00     0.00     4.00     9.00     1.50     6.00  -999.00  -999.00 LRUD carrier

