# geo: A1 38.4795 -86.4381
# geonote: WGS84, southern Indiana karst, synthetic -- not a real entrance
# name: PITFALL CAVE (TEST)
# date: 2026-03-14
# team: N. SCHONEGG, R. WEBB
# declination: -4.66
# unit: ft
# fix: A1 0 0 812.4
# fix: D9 97.055 -814.381 684.589
# startlrud: 3,4.5,6,0
# startnote: ENTRANCE UNDER LEDGE, GATE COMBINATION WITH LANDOWNER
from,to,distance,azimuth,inclination,left,right,up,down,backazimuth,backinclination,flags,notes
B12,,29.36,320.03,-5.16,,,,,,,,
B12,,22,70,71,,,,,,,,CEILING DOME
B12,,40,150.61,1,,,,,,,,DOWN-PASSAGE SIGHT
B13,,19.31,356.3,3.32,,,,,,,,
B13,,9.25,45.82,-5.32,,,,,,,,
B13,,17.95,87.44,-0.13,,,,,,,,
B13,,11.21,129.94,6.25,,,,,,,,
B13,,32.32,176.8,2.08,,,,,,,,
B13,,12.46,221.52,2.32,,,,,,,,
B13,,30.72,275.38,0.25,,,,,,,,
B13,,15.25,317.44,4.07,,,,,,,,
B14,,23.97,356.35,-7.98,,,,,,,,
B14,,29.45,46.74,6.55,,,,,,,,
B14,,8.58,88.13,5.94,,,,,,,,
B14,,18.4,136.74,-3.86,,,,,,,,
B14,,19.49,174.96,0.86,,,,,,,,
B14,,31.04,229.88,-0.76,,,,,,,,
B14,,15.57,274.35,0.69,,,,,,,,
B14,,28.51,314.31,2.62,,,,,,,,
B15,,19.18,359.92,-5.56,,,,,,,,
B15,,24.77,41.89,1.71,,,,,,,,
B15,,35.49,89.99,-0.6,,,,,,,,
B15,,34.5,135.68,-1.7,,,,,,,,
B15,,13.46,179.79,2.12,,,,,,,,
B15,,26.95,227.01,-7.21,,,,,,,,
B15,,26.62,274.99,-1.42,,,,,,,,
B15,,19.05,318.59,-4.06,,,,,,,,
B15,B16,23.19,142.32,3.63,1.7,2.1,12.8,2.2,,,,
B16,B17,19,142.82,0.02,1.7,3.7,6.6,2.5,,,,
B17,B18,35,152.82,-2,6,5,9,1,,,,
B18,B17,35,152.82,2,,,,,,,,BACKSIGHT WRITTEN IN THE FORESIGHT COLUMN
B18,B19,21.26,155.17,1.16,6.7,5.4,3.9,2.8,,,,
B19,B20,40.42,151.18,0.9,2.6,3.7,6.4,1.1,,,,
B20,B21,28,155.18,-1,4,4,6,1,,,C,TIED TO SURVEY NAIL, DO NOT ADJUST
B21,B22,33,143.18,-1.5,5,6,8,1,,,,
B21,B22,33.4,143.78,-1.5,,,,,,,L,DUPLICATE SHOT, SECOND PARTY
B22,B23,24,159.78,-2,4,4,7,1,,,,
B23,B23X,15,95,3,,,,,,,X,VOID SHOT, STATION NEVER FOUND AGAIN
B23,B23.1,21,118,4.5,2,2,5,0.5,,,,SIDE ALCOVE, NAMED LIKE A SPLAY ON PURPOSE
B23,B24,45.53,144.95,3.39,4.2,1.6,5.3,2.8,,,,
B24,B25,23.74,145.55,3.53,7.9,1.7,3.3,1.2,,,,
B25,UPPERWESTMAZEJUNCTION,37,125.55,-1,9,11,15,2,,,,FOUR-WAY, WEST MAZE STARTS HERE
UPPERWESTMAZEJUNCTION,C1,26,288,-2,3,3.5,6,1,,,,
C1,C2,31,302,-1,4,3,5.5,1,,,,
C2,C3,28.5,336,1.5,3,3,5,0.5,,,,
C3,C4,34,12,2,4.5,4,7,1,,,,
C4,C5,29,46,0.5,5/10,6,9,1,,,,LEDGE AT 5, TRUE WALL AT 10
C5,C6,33.5,74,-1,4,5,8,1,,,,
C6,C7,30,108,-2.5,3.5,4,6,1,,,,
C7,C8,27,142,-1.5,-1,4,7,1,,,,LEFT WALL UNREACHABLE, WROTE -1
C8,C9,32,176,-2,4,4,6.5,1,,,,
C9,C1,91.44,240.01,1.45,3,3,5,1,,,,LOOP B CLOSING LEG -- BLUNDERED TAPE, 12 PERCENT LONG
C5,C10,24,20,1,6,6,9,1,,,,THREE-WAY JUNCTION
C10,C11,22,350,2,3,3,5,0.5,,,,
C11,C12,26,318,-1,,,,,,,,FLOWSTONE CHAMBER
C12,C13,30,300,-2,,,,,,,,
C13,C14,25,276,-1,,,,,,,,
C12,,19.47,358.59,5.23,,,,,,,,
C12,,21.35,38.26,-7.95,,,,,,,,
C12,,10.5,74.77,-7.4,,,,,,,,
C12,,22.7,113.09,-4.72,,,,,,,,
C12,,23.46,147.95,-0.53,,,,,,,,
C12,,26.04,179.62,-4.33,,,,,,,,
C12,,23.76,218.67,-4.76,,,,,,,,
C12,,24.02,257.34,-0.55,,,,,,,,
C12,,27.95,293.51,-2.73,,,,,,,,
C12,,8.42,323.03,0.81,,,,,,,,
C12,,22,70,71,,,,,,,,CEILING DOME
C13,,15,357.94,1.46,,,,,,,,
C13,,18.95,34.38,-5.3,,,,,,,,
C13,,15.71,69.68,-1.02,,,,,,,,
C13,,15.88,113.59,-5.76,,,,,,,,
C13,,5.76,145.39,1.28,,,,,,,,
C13,,5.9,177.97,-0.17,,,,,,,,
C13,,15.01,213.36,-3.5,,,,,,,,
C13,,7.71,250.09,6.75,,,,,,,,
C13,,6.14,292.43,4.61,,,,,,,,
C13,,8.14,322.46,5.37,,,,,,,,
C14,,15.22,2.68,-5.54,,,,,,,,
C14,,12.65,31.55,2.4,,,,,,,,
C14,,9.81,73.35,-1.52,,,,,,,,
C14,,6.14,105.42,-6.79,,,,,,,,
C14,,25.81,146.09,-1.71,,,,,,,,
C14,,11.75,180.96,2.12,,,,,,,,
C14,,7.44,216.78,-6.61,,,,,,,,
C14,,10.83,247.17,-4.1,,,,,,,,
C14,,26.8,288.06,6.51,,,,,,,,
C14,,18.65,322.69,3.73,,,,,,,,
C14,C15,28,250,-1.5,,,,,,,,
C15,C16,31,232,-2,,,,,,,,
C16,C17,27,214,-1,3,3,5,1,,,,
C10,D1,33,168,-4,5,5,8,1,,,,
D1,D2,29,152,-7,4,4,7,1,,,,
D2,D3,63,0,-90,6,6,0,4,,,,PLUMBED PITCH, ROPE 80 FT
D3,D4,26,140,-3,4,5,9,1,,,,
D4,D5,24,122,90,3,3,12,0,,,,AVEN, PLUMBED UP
D5,D6,31,104,-2,4,4,7,1,,,,
D6,D7,28,86,-3,3.5,4,6,1,,,,
D7,D8,34,68,-5,5,5,8,1,,,,
D8,D9,30,52,-4,6,6,10,1,,,,SUMP POOL, DYE TRACE STATION
D9,D10,22,38,-2,4,4,6,1,,,,
B25,B26,26,262,-1,5,5,8,1,,,,SECOND HALF OF THE TRUNK TRIP, SAME DAY, SAME PARTY
B26,B27,31,248,-2,4,6,9,1.5,,,,
